amortized_time_per_query,avg_query_time,buffer_size_max,buffer_size_min,database,dataset_size,elapsed_seconds,gpu_memory_used_mb,gpu_utilization_percent,initialization_time,mode,note,num_queries,query,session_total_time,test_timestamp,total_time
0.25435337543487546,0.25298705577850344,,,duckdb,5m,25.927996158599854,,,0.13663196563720703,persistent_session,,100,shortest_path_gpu,25.298705577850342,2025-11-28T10:36:58.866871,25.43533754348755
0.07132580280303955,0.06730404376983642,,,duckdb,20m,7.26042366027832,,,0.4021759033203125,persistent_session,,100,1_hop_gpu,6.730404376983643,2025-11-28T10:37:06.127384,7.132580280303955
0.48207094192504885,0.4789142084121704,,,duckdb,20m,48.77548432350159,,,0.3156733512878418,persistent_session,,100,2_hop_gpu,47.89142084121704,2025-11-28T10:37:54.902879,48.20709419250488
0.4761264181137085,0.4731187009811401,,,duckdb,20m,48.177955627441406,,,0.30077171325683594,persistent_session,,100,3_hop_gpu,47.311870098114014,2025-11-28T10:38:43.080903,47.61264181137085
2.118002088069916,2.1152001452445983,,,duckdb,20m,213.85864305496216,,,0.2801942825317383,persistent_session,,100,k_hop_gpu,211.52001452445984,2025-11-28T10:42:16.939567,211.80020880699158
2.165390555858612,2.161644983291626,,,duckdb,20m,220.4876937866211,,,0.3745572566986084,persistent_session,,100,shortest_path_gpu,216.1644983291626,2025-11-28T10:45:57.427305,216.5390555858612
0.019889588356018065,0.013784863217042224,2 GB,1 GB,sirius,100k,2.0797479152679443,1211.7265625,0,0.596687650680542,persistent_session,Query timing estimated from total time,100,1_hop_gpu,1.3922711849212646,2025-11-28T10:45:59.507143,1.9889588356018066
0.021154813766479492,0.014661752115381827,2 GB,1 GB,sirius,100k,2.1851232051849365,1211.7265625,1,0.6346444129943848,persistent_session,Query timing estimated from total time,100,2_hop_gpu,1.4808369636535645,2025-11-28T10:46:01.692303,2.115481376647949
0.01685094118118286,0.011678870125572281,2 GB,1 GB,sirius,100k,1.7511489391326904,1211.7265625,0,0.5055282354354859,persistent_session,Query timing estimated from total time,100,3_hop_gpu,1.1795658826828004,2025-11-28T10:46:03.443493,1.6850941181182861
0.014353680610656738,0.009948095472732394,2 GB,1 GB,sirius,100k,1.5078141689300537,1211.7265625,0,0.43061041831970215,persistent_session,Query timing estimated from total time,100,k_hop_gpu,1.0047576427459717,2025-11-28T10:46:04.951344,1.4353680610656738
0.013958492279052735,0.00967420256964051,2 GB,1 GB,sirius,100k,1.472710371017456,1211.7265625,0,0.41875476837158204,persistent_session,Query timing estimated from total time,100,shortest_path_gpu,0.9770944595336915,2025-11-28T10:46:06.424094,1.3958492279052734
0.029429576396942138,0.020396736116692574,4 GB,2 GB,sirius,1m,3.0145256519317627,1211.7265625,0,0.8828872919082641,persistent_session,Query timing estimated from total time,100,1_hop_gpu,2.06007034778595,2025-11-28T10:46:09.438682,2.942957639694214
0.02332176446914673,0.016163599137032386,4 GB,2 GB,sirius,1m,2.406174421310425,1211.7265625,0,0.6996529340744019,persistent_session,Query timing estimated from total time,100,2_hop_gpu,1.632523512840271,2025-11-28T10:46:11.844897,2.332176446914673
0.026146445274353027,0.01812129870499715,4 GB,2 GB,sirius,1m,2.686671495437622,1220.2890625,1,0.7843933582305908,persistent_session,Query timing estimated from total time,100,3_hop_gpu,1.830251169204712,2025-11-28T10:46:14.531607,2.6146445274353027
0.027299370765686035,0.018920355976218044,4 GB,2 GB,sirius,1m,2.8018157482147217,1223.984375,2,0.818981122970581,persistent_session,Query timing estimated from total time,100,k_hop_gpu,1.9109559535980225,2025-11-28T10:46:17.333460,2.7299370765686035
0.033007280826568605,0.02287633324613666,4 GB,2 GB,sirius,1m,3.3792059421539307,1220.546875,2,0.990218424797058,persistent_session,Query timing estimated from total time,100,shortest_path_gpu,2.3105096578598023,2025-11-28T10:46:20.712707,3.3007280826568604
0.0692528247833252,0.04799700727557192,8 GB,4 GB,sirius,5m,6.988950729370117,1190.8515625,8,2.077584743499756,persistent_session,Query timing estimated from total time,100,1_hop_gpu,4.847697734832764,2025-11-28T10:46:27.701723,6.9252824783325195
0.07873388051986695,0.054568036003868184,8 GB,4 GB,sirius,5m,7.94420599937439,1185.890625,1,2.3620164155960084,persistent_session,Query timing estimated from total time,100,2_hop_gpu,5.511371636390686,2025-11-28T10:46:35.645967,7.873388051986694
0.0793073058128357,0.05496545947424256,8 GB,4 GB,sirius,5m,8.017423152923584,1163.40625,1,2.379219174385071,persistent_session,Query timing estimated from total time,100,3_hop_gpu,5.5515114068984985,2025-11-28T10:46:43.663432,7.930730581283569
0.06299729585647583,0.04366149217775552,8 GB,4 GB,sirius,5m,6.368216037750244,1163.40625,1,1.8899188756942749,persistent_session,Query timing estimated from total time,100,k_hop_gpu,4.409810709953308,2025-11-28T10:46:50.031692,6.299729585647583
0.0637636685371399,0.044192641560393986,8 GB,4 GB,sirius,5m,6.4520299434661865,1103.96875,0,1.9129100561141967,persistent_session,Query timing estimated from total time,100,shortest_path_gpu,4.463456797599792,2025-11-28T10:46:56.483759,6.376366853713989
0.0943283987045288,0.06537611791402988,8 GB,6 GB,sirius,20m,9.495387315750122,1113.484375,3,2.8298519611358643,persistent_session,Query timing estimated from total time,100,1_hop_gpu,6.602987909317017,2025-11-28T10:47:05.979208,9.43283987045288
0.08599978446960449,0.05960381101853777,8 GB,6 GB,sirius,20m,8.663758754730225,1121.390625,17,2.5799935340881346,persistent_session,Query timing estimated from total time,100,2_hop_gpu,6.019984912872315,2025-11-28T10:47:14.643008,8.59997844696045
0.07147081851959229,0.04953423065714317,8 GB,6 GB,sirius,20m,7.208950042724609,1119.9765625,2,2.1441245555877684,persistent_session,Query timing estimated from total time,100,3_hop_gpu,5.00295729637146,2025-11-28T10:47:21.852002,7.1470818519592285
0.0735250997543335,0.050957989928745985,8 GB,6 GB,sirius,20m,7.431134223937988,1099.9765625,2,2.205752992630005,persistent_session,Query timing estimated from total time,100,k_hop_gpu,5.146756982803344,2025-11-28T10:47:29.283168,7.35250997543335
0.09388042449951171,0.06506564074223585,8 GB,6 GB,sirius,20m,9.449066162109375,1117.4453125,6,2.8164127349853514,persistent_session,Query timing estimated from total time,100,shortest_path_gpu,6.5716297149658205,2025-11-28T10:47:38.732274,9.388042449951172
